Accession	Species	Class
HmCD00331135	Haloarcula marismortui	0
HmCD00331136	Haloarcula marismortui	1
HmCD00331137	Haloarcula marismortui	1
HmCD00331138	Haloarcula marismortui	1
DvCD00331139	Desulfovibrio vulgaris	1
DvCD00331140	Desulfovibrio vulgaris	1
DvCD00331141	Desulfovibrio vulgaris	1
DvCD00331142	Desulfovibrio vulgaris	1
DvCD00331143	Desulfovibrio vulgaris	1
DvCD00331144	Desulfovibrio vulgaris	1
DvCD00331145	Desulfovibrio vulgaris	1
DrCD00331146	Deinococcus radiodurans	1
DrCD00331147	Deinococcus radiodurans	1
DrCD00331148	Deinococcus radiodurans	0
CtCD00331149	Chlorobaculum tepidum	1
CtCD00331150	Chlorobaculum tepidum	1
CcCD00331151	Caulobacter vibrioides	0
CcCD00331152	Caulobacter vibrioides	0
CcCD00331153	Caulobacter vibrioides	0
CcCD00331154	Caulobacter vibrioides	1
CcCD00331155	Caulobacter vibrioides	1
CsCD00331156	Clostridium scindens	1
CsCD00331157	Clostridium scindens	1
CsCD00331158	Clostridium scindens	1
NsCD00331159	Nostoc sp. PCC 7120	1
NsCD00331160	Nostoc sp. PCC 7120	1
ChCD00331161	Cytophaga hutchinsonii	1
BvCD00331162	Bacteroides vulgatus	1
BvCD00331163	Bacteroides vulgatus	1
BvCD00331164	Bacteroides vulgatus	1
MpCD00331165	Mycoplasma pneumoniae	0
MpCD00331166	Mycoplasma pneumoniae	0
MpCD00331167	Mycoplasma pneumoniae	0
BpCD00331168	Bordetella pertussis	0
BpCD00331169	Bordetella pertussis	1
BaCD00331170	Bifidobacterium adolescentis	1
BaCD00331171	Bifidobacterium adolescentis	1
BaCD00331172	Bifidobacterium adolescentis	1
BaCD00331173	Bifidobacterium adolescentis	0
BaCD00331174	Bifidobacterium adolescentis	1
BaCD00331175	Bifidobacterium adolescentis	0
AtCD00331176	Agrobacterium tumefaciens	0
AtCD00331177	Agrobacterium tumefaciens	0
AtCD00331178	Agrobacterium tumefaciens	0
AtCD00331179	Agrobacterium tumefaciens	0
AtCD00331180	Agrobacterium tumefaciens	0
AtCD00331181	Agrobacterium tumefaciens	0
AaCD00331182	Arthrobacter aurescens	1
AaCD00331183	Arthrobacter aurescens	1
AaCD00331184	Arthrobacter aurescens	1
AaCD00331185	Arthrobacter aurescens	1
PfCD00331186	Pseudomonas fluorescens	0
PfCD00331187	Pseudomonas fluorescens	1
PfCD00331188	Pseudomonas fluorescens	1
PfCD00331189	Pseudomonas fluorescens	1
PfCD00331190	Pseudomonas fluorescens	0
PfCD00331191	Pseudomonas fluorescens	1
PfCD00331192	Pseudomonas fluorescens	1
PfCD00331193	Pseudomonas fluorescens	1
GmCD00331194	Geobacter metallireducens	1
GmCD00331195	Geobacter metallireducens	1
GmCD00331196	Geobacter metallireducens	1
GmCD00331197	Geobacter metallireducens	1
GmCD00331198	Geobacter metallireducens	1
GmCD00331199	Geobacter metallireducens	1
GmCD00331200	Geobacter metallireducens	1
GmCD00331201	Geobacter metallireducens	1
GmCD00331202	Geobacter metallireducens	1
GmCD00331203	Geobacter metallireducens	1
GmCD00331204	Geobacter metallireducens	1
GmCD00331205	Geobacter metallireducens	1
GmCD00331206	Geobacter metallireducens	1
GmCD00331207	Geobacter metallireducens	1
GmCD00331208	Geobacter metallireducens	1
RdCD00331209	Roseobacter denitrificans	1
RdCD00331210	Roseobacter denitrificans	0
RdCD00331211	Roseobacter denitrificans	0
RdCD00331212	Roseobacter denitrificans	0
RdCD00331213	Roseobacter denitrificans	0
PsCD00331214	Pseudomonas syringae	1
PsCD00331215	Pseudomonas syringae	1
PsCD00331216	Pseudomonas syringae	1
PsCD00331217	Pseudomonas syringae	0
PsCD00331218	Pseudomonas syringae	0
PsCD00331219	Pseudomonas syringae	0
PsCD00331220	Pseudomonas syringae	0
PsCD00331221	Pseudomonas syringae	1
PsCD00331222	Pseudomonas syringae	1
